CIVICO,CLASSIFICAZIONE,CODICE_VIA,COD_ISOLATO,COD_LOCALITA,COD_MUNICIPALITA,COD_QUARTIERE,COD_ZONA,DENOMINAZIONE_STRUTTURA,ESRI_OID,ID_RAGIONE_SOCIALE,ID_STRUTTURA,INDIRIZZO,INDIRIZZO_EMAIL,LETTERA,NUMERO_LETTI,NUMERO_STANZE,NUM_STELLE,PERCENTUALE_RIDUZIONE,RAGIONE_SOCIALE,SITOWEB,SUB_CODICE_VIA,SUB_COD_VIA,TELEFONO,TIPO,TIPOLOGIA_STRUTTURA,TIPO_STRUTTURA,ZONA_IDS,longitude,latitude,data,codice_gruppo,codice_isolato,codice_localita,codice_municipalita,codice_quartiere,nome_gruppo,nome_localita,nome_municipalita,nome_quartiere
9,UNICA,13600,270421793,270425067,3,8,3,LOCAZIONE TURISTICA CASETTA GIALLA,1281,30,41379,VIA PASSO ROLLE 9,PUBBLICAZIONE DATO NON AUTORIZZATA DAL GESTORE,_,4,2,0,30,PUBBLICAZIONE DATO NON AUTORIZZATA DAL GESTORE,PUBBLICAZIONE DATO NON AUTORIZZATA DAL GESTORE,13600,13600,PUBBLICAZIONE DATO NON AUTORIZZATA DAL GESTORE,U,LOCAZIONI TURISTICHE,LOCAZIONI TURISTICHE ART.27 BIS L.R.V. 11/2013,TERRAFERMA,2307609.8071999997,5042501.0053,2019-04-17,3,270421793,270425067,3,8,Terraferma,Favaro,Favaro Veneto,Favaro Veneto
27,UNICA,13640,270421795,270425067,3,8,3,APPARTAMENTO FAVARO VENETO - MATTEO CIMEGOTTO,1282,6125,82090,PIAZZA ANGELO PASTRELLO 27,MATTHEWLOFT84@GMAIL.COM,_,5,2,0,30,CIMEGOTTO MATTEO,PUBBLICAZIONE DATO NON AUTORIZZATA DAL GESTORE,13640,13640,3209015761,U,LOCAZIONI TURISTICHE,LOCAZIONI TURISTICHE ART.27 BIS L.R.V. 11/2013,TERRAFERMA,2307644.3767,5042570.6294,2019-04-17,3,270421795,270425067,3,8,Terraferma,Favaro,Favaro Veneto,Favaro Veneto
7,UNICA,5380,270421795,270425067,3,8,3,MILLS? APARTMENT,1283,5394,50133,VIA DEI MOLINI 7,BORTO77@HOTMAIL.IT,_,4,2,0,30,MILLS APARTMENT,PUBBLICAZIONE DATO NON AUTORIZZATA DAL GESTORE,5380,5380,3332022178,U,LOCAZIONI TURISTICHE,LOCAZIONI TURISTICHE ART.27 BIS L.R.V. 11/2013,TERRAFERMA,2307677.3320000004,5042533.729599999,2019-04-17,3,270421795,270425067,3,8,Terraferma,Favaro,Favaro Veneto,Favaro Veneto
4,UNICA,15440,270421864,270425067,3,8,3,ATTILIO PASQUALETTO,1284,337,41021,VIA SANT'ANDREA 4,PUBBLICAZIONE DATO NON AUTORIZZATA DAL GESTORE,_,4,1,0,30,PUBBLICAZIONE DATO NON AUTORIZZATA DAL GESTORE,PUBBLICAZIONE DATO NON AUTORIZZATA DAL GESTORE,15440,15440,PUBBLICAZIONE DATO NON AUTORIZZATA DAL GESTORE,U,LOCAZIONI TURISTICHE,LOCAZIONI TURISTICHE ART.27 BIS L.R.V. 11/2013,TERRAFERMA,2307693.8062000005,5043015.276699999,2019-04-17,3,270421864,270425067,3,8,Terraferma,Favaro,Favaro Veneto,Favaro Veneto
6,UNICA,18210,270421709,270425067,3,8,3,TOMMY'S HOME,1285,6147,82732,VIA TRIESTINA 6,PUBBLICAZIONE DATO NON AUTORIZZATA DAL GESTORE,_,5,3,0,30,PUBBLICAZIONE DATO NON AUTORIZZATA DAL GESTORE,PUBBLICAZIONE DATO NON AUTORIZZATA DAL GESTORE,18210,18210,PUBBLICAZIONE DATO NON AUTORIZZATA DAL GESTORE,U,LOCAZIONI TURISTICHE,LOCAZIONI TURISTICHE ART.27 BIS L.R.V. 11/2013,TERRAFERMA,2307736.16,5042609.258400001,2019-04-17,3,270421709,270425067,3,8,Terraferma,Favaro,Favaro Veneto,Favaro Veneto
10,UNICA,18210,270421709,270425067,3,8,3,CA' LAURA,1286,6118,84380,VIA TRIESTINA 10,PUBBLICAZIONE DATO NON AUTORIZZATA DAL GESTORE,_,6,1,0,30,PUBBLICAZIONE DATO NON AUTORIZZATA DAL GESTORE,PUBBLICAZIONE DATO NON AUTORIZZATA DAL GESTORE,18210,18210,PUBBLICAZIONE DATO NON AUTORIZZATA DAL GESTORE,U,LOCAZIONI TURISTICHE,LOCAZIONI TURISTICHE ART.27 BIS L.R.V. 11/2013,TERRAFERMA,2307739.4256999996,5042617.2904,2019-04-17,3,270421709,270425067,3,8,Terraferma,Favaro,Favaro Veneto,Favaro Veneto
5,UNICA,8860,270421709,270425067,3,8,3,VENICE DIVIAN APARTMENT 406,1287,6256,91407,VIA GOBBI 5,PUBBLICAZIONE DATO NON AUTORIZZATA DAL GESTORE,_,2,1,0,30,PUBBLICAZIONE DATO NON AUTORIZZATA DAL GESTORE,PUBBLICAZIONE DATO NON AUTORIZZATA DAL GESTORE,8860,8860,PUBBLICAZIONE DATO NON AUTORIZZATA DAL GESTORE,U,LOCAZIONI TURISTICHE,LOCAZIONI TURISTICHE ART.27 BIS L.R.V. 11/2013,TERRAFERMA,2307745.7545999996,5042581.146600001,2019-04-17,3,270421709,270425067,3,8,Terraferma,Favaro,Favaro Veneto,Favaro Veneto
5,UNICA,8860,270421709,270425067,3,8,3,VENICE DIVIAN APARTMENT 422,1288,6256,91406,VIA GOBBI 5,PUBBLICAZIONE DATO NON AUTORIZZATA DAL GESTORE,_,2,1,0,30,PUBBLICAZIONE DATO NON AUTORIZZATA DAL GESTORE,PUBBLICAZIONE DATO NON AUTORIZZATA DAL GESTORE,8860,8860,PUBBLICAZIONE DATO NON AUTORIZZATA DAL GESTORE,U,LOCAZIONI TURISTICHE,LOCAZIONI TURISTICHE ART.27 BIS L.R.V. 11/2013,TERRAFERMA,2307745.7545999996,5042581.146600001,2019-04-17,3,270421709,270425067,3,8,Terraferma,Favaro,Favaro Veneto,Favaro Veneto
5,UNICA,8860,270421709,270425067,3,8,3,VENICE DIVIAN APARTMENT 416,1289,6256,91411,VIA GOBBI 5,PUBBLICAZIONE DATO NON AUTORIZZATA DAL GESTORE,_,2,1,0,30,PUBBLICAZIONE DATO NON AUTORIZZATA DAL GESTORE,PUBBLICAZIONE DATO NON AUTORIZZATA DAL GESTORE,8860,8860,PUBBLICAZIONE DATO NON AUTORIZZATA DAL GESTORE,U,LOCAZIONI TURISTICHE,LOCAZIONI TURISTICHE ART.27 BIS L.R.V. 11/2013,TERRAFERMA,2307745.7545999996,5042581.146600001,2019-04-17,3,270421709,270425067,3,8,Terraferma,Favaro,Favaro Veneto,Favaro Veneto
5,UNICA,8860,270421709,270425067,3,8,3,VENICE DIVIAN APARTMENT 418,1290,6256,91410,VIA GOBBI 5,PUBBLICAZIONE DATO NON AUTORIZZATA DAL GESTORE,_,2,1,0,30,PUBBLICAZIONE DATO NON AUTORIZZATA DAL GESTORE,PUBBLICAZIONE DATO NON AUTORIZZATA DAL GESTORE,8860,8860,PUBBLICAZIONE DATO NON AUTORIZZATA DAL GESTORE,U,LOCAZIONI TURISTICHE,LOCAZIONI TURISTICHE ART.27 BIS L.R.V. 11/2013,TERRAFERMA,2307745.7545999996,5042581.146600001,2019-04-17,3,270421709,270425067,3,8,Terraferma,Favaro,Favaro Veneto,Favaro Veneto
5,UNICA,8860,270421709,270425067,3,8,3,VENICE DIVIAN APARTMENT 412,1291,6256,91409,VIA GOBBI 5,PUBBLICAZIONE DATO NON AUTORIZZATA DAL GESTORE,_,2,1,0,30,PUBBLICAZIONE DATO NON AUTORIZZATA DAL GESTORE,PUBBLICAZIONE DATO NON AUTORIZZATA DAL GESTORE,8860,8860,PUBBLICAZIONE DATO NON AUTORIZZATA DAL GESTORE,U,LOCAZIONI TURISTICHE,LOCAZIONI TURISTICHE ART.27 BIS L.R.V. 11/2013,TERRAFERMA,2307745.7545999996,5042581.146600001,2019-04-17,3,270421709,270425067,3,8,Terraferma,Favaro,Favaro Veneto,Favaro Veneto
5,UNICA,8860,270421709,270425067,3,8,3,VENICE DIVIAN APARTMENT 410,1292,6256,91408,VIA GOBBI 5,PUBBLICAZIONE DATO NON AUTORIZZATA DAL GESTORE,_,2,1,0,30,PUBBLICAZIONE DATO NON AUTORIZZATA DAL GESTORE,PUBBLICAZIONE DATO NON AUTORIZZATA DAL GESTORE,8860,8860,PUBBLICAZIONE DATO NON AUTORIZZATA DAL GESTORE,U,LOCAZIONI TURISTICHE,LOCAZIONI TURISTICHE ART.27 BIS L.R.V. 11/2013,TERRAFERMA,2307745.7545999996,5042581.146600001,2019-04-17,3,270421709,270425067,3,8,Terraferma,Favaro,Favaro Veneto,Favaro Veneto
5,UNICA,8860,270421709,270425067,3,8,3,VENICE DIVIAN APARTMENT 404,1293,6256,91405,VIA GOBBI 5,PUBBLICAZIONE DATO NON AUTORIZZATA DAL GESTORE,_,2,1,0,30,PUBBLICAZIONE DATO NON AUTORIZZATA DAL GESTORE,PUBBLICAZIONE DATO NON AUTORIZZATA DAL GESTORE,8860,8860,PUBBLICAZIONE DATO NON AUTORIZZATA DAL GESTORE,U,LOCAZIONI TURISTICHE,LOCAZIONI TURISTICHE ART.27 BIS L.R.V. 11/2013,TERRAFERMA,2307745.7545999996,5042581.146600001,2019-04-17,3,270421709,270425067,3,8,Terraferma,Favaro,Favaro Veneto,Favaro Veneto
3,UNICA,6620,270421851,270425067,3,8,3,SISTER'S VENICE 2,1294,5144,77717,VIA DELLE MUNEGHE 3,PUBBLICAZIONE DATO NON AUTORIZZATA DAL GESTORE,_,6,2,0,30,PUBBLICAZIONE DATO NON AUTORIZZATA DAL GESTORE,PUBBLICAZIONE DATO NON AUTORIZZATA DAL GESTORE,6620,6620,PUBBLICAZIONE DATO NON AUTORIZZATA DAL GESTORE,U,LOCAZIONI TURISTICHE,LOCAZIONI TURISTICHE ART.27 BIS L.R.V. 11/2013,TERRAFERMA,2307758.9031999996,5043113.5703,2019-04-17,3,270421851,270425067,3,8,Terraferma,Favaro,Favaro Veneto,Favaro Veneto
9,UNICA,13620,270421829,270425067,3,8,3,LOCAZIONE FAVARO,1295,6085,81174,VIA PASSO TONALE 9,PUBBLICAZIONE DATO NON AUTORIZZATA DAL GESTORE,_,7,3,0,30,PUBBLICAZIONE DATO NON AUTORIZZATA DAL GESTORE,PUBBLICAZIONE DATO NON AUTORIZZATA DAL GESTORE,13620,13620,PUBBLICAZIONE DATO NON AUTORIZZATA DAL GESTORE,U,LOCAZIONI TURISTICHE,LOCAZIONI TURISTICHE ART.27 BIS L.R.V. 11/2013,TERRAFERMA,2307760.7298,5042735.0002,2019-04-17,3,270421829,270425067,3,8,Terraferma,Favaro,Favaro Veneto,Favaro Veneto
5,UNICA,6620,270421851,270425067,3,8,3,SISTER'S VENICE 1,1296,5144,77716,VIA DELLE MUNEGHE 5,PUBBLICAZIONE DATO NON AUTORIZZATA DAL GESTORE,_,6,2,0,30,PUBBLICAZIONE DATO NON AUTORIZZATA DAL GESTORE,PUBBLICAZIONE DATO NON AUTORIZZATA DAL GESTORE,6620,6620,PUBBLICAZIONE DATO NON AUTORIZZATA DAL GESTORE,U,LOCAZIONI TURISTICHE,LOCAZIONI TURISTICHE ART.27 BIS L.R.V. 11/2013,TERRAFERMA,2307786.5818,5043138.6711,2019-04-17,3,270421851,270425067,3,8,Terraferma,Favaro,Favaro Veneto,Favaro Veneto
34,UNICA,18210,270421709,270425067,3,8,3,TEO'S HOUSE,1297,5370,48164,VIA TRIESTINA 34,TEOSHOUSEVE@GMAIL.COM,_,4,1,0,30,TEO'S HOUSE,PUBBLICAZIONE DATO NON AUTORIZZATA DAL GESTORE,18210,18210,3394219940,U,LOCAZIONI TURISTICHE,LOCAZIONI TURISTICHE ART.27 BIS L.R.V. 11/2013,TERRAFERMA,2307822.4258000003,5042631.4001,2019-04-17,3,270421709,270425067,3,8,Terraferma,Favaro,Favaro Veneto,Favaro Veneto
1,UNICA,2200,270421856,270425067,3,8,3,SISTER RESIDENCE,1298,4624,89155,VIA CA' FORNONI 1,MARLA87@HOTMAIL.IT,_,4,3,0,30,MARTHA PATRICIA LAMANNA MAURY,PUBBLICAZIONE DATO NON AUTORIZZATA DAL GESTORE,2200,2200,3474932594,U,LOCAZIONI TURISTICHE,LOCAZIONI TURISTICHE ART.27 BIS L.R.V. 11/2013,TERRAFERMA,2307827.1325000003,5043503.8835,2019-04-17,3,270421856,270425067,3,8,Terraferma,Favaro,Favaro Veneto,Favaro Veneto
10,UNICA,11830,270421828,270425067,3,8,3,CASA SANDRA,1299,3452,65847,VIA MONTE PAGANELLA 10,PUBBLICAZIONE DATO NON AUTORIZZATA DAL GESTORE,_,5,1,0,30,CASA SANDRA,PUBBLICAZIONE DATO NON AUTORIZZATA DAL GESTORE,11830,11830,PUBBLICAZIONE DATO NON AUTORIZZATA DAL GESTORE,U,LOCAZIONI TURISTICHE,LOCAZIONI TURISTICHE ART.27 BIS L.R.V. 11/2013,TERRAFERMA,2307839.0566,5042704.3705,2019-04-17,3,270421828,270425067,3,8,Terraferma,Favaro,Favaro Veneto,Favaro Veneto
43,UNICA,8860,270421709,270425067,3,8,3,SANDRO@FAVARO,1300,5242,54031,VIA GOBBI 43,PUBBLICAZIONE DATO NON AUTORIZZATA DAL GESTORE,_,4,5,0,30,PUBBLICAZIONE DATO NON AUTORIZZATA DAL GESTORE,PUBBLICAZIONE DATO NON AUTORIZZATA DAL GESTORE,8860,8860,PUBBLICAZIONE DATO NON AUTORIZZATA DAL GESTORE,U,LOCAZIONI TURISTICHE,LOCAZIONI TURISTICHE ART.27 BIS L.R.V. 11/2013,TERRAFERMA,2307839.1514,5042337.2783,2019-04-17,3,270421709,270425067,3,8,Terraferma,Favaro,Favaro Veneto,Favaro Veneto
151,UNICA,340,270421873,270425067,3,8,3,DECARLI FRANCO,6765,2297,43477,VIA ALTINIA 151 D (DESE - FAVARO),PUBBLICAZIONE DATO NON AUTORIZZATA DAL GESTORE,D,2,1,0,30,PUBBLICAZIONE DATO NON AUTORIZZATA DAL GESTORE,PUBBLICAZIONE DATO NON AUTORIZZATA DAL GESTORE,340,340,PUBBLICAZIONE DATO NON AUTORIZZATA DAL GESTORE,U,LOCAZIONI TURISTICHE,LOCAZIONI TURISTICHE ART.27 BIS L.R.V. 11/2013,TERRAFERMA,2307888.238,5043981.446900001,2019-04-17,3,270421873,270425067,3,8,Terraferma,Favaro,Favaro Veneto,Favaro Veneto
14,UNICA,11590,270421831,270425067,3,8,3,CASADORO,1301,4187,78230,VIA MONTE CAVALLO 14,INFO@CASADOROVENICE.COM,_,10,5,0,30,GABRIEL LAZZARINI,PUBBLICAZIONE DATO NON AUTORIZZATA DAL GESTORE,11590,11590,PUBBLICAZIONE DATO NON AUTORIZZATA DAL GESTORE,U,LOCAZIONI TURISTICHE,LOCAZIONI TURISTICHE ART.27 BIS L.R.V. 11/2013,TERRAFERMA,2307929.6383999996,5042830.3488,2019-04-17,3,270421831,270425067,3,8,Terraferma,Favaro,Favaro Veneto,Favaro Veneto
9,UNICA,9390,270421856,270425067,3,8,3,GONDOLA HOUSE,6766,4048,42507,VIA JULIA 9,PUBBLICAZIONE DATO NON AUTORIZZATA DAL GESTORE,_,4,4,0,30,PUBBLICAZIONE DATO NON AUTORIZZATA DAL GESTORE,PUBBLICAZIONE DATO NON AUTORIZZATA DAL GESTORE,9390,9390,PUBBLICAZIONE DATO NON AUTORIZZATA DAL GESTORE,U,LOCAZIONI TURISTICHE,LOCAZIONI TURISTICHE ART.27 BIS L.R.V. 11/2013,TERRAFERMA,2307934.2807,5043612.121099999,2019-04-17,3,270421856,270425067,3,8,Terraferma,Favaro,Favaro Veneto,Favaro Veneto
2,UNICA,16750,270421773,270425067,3,8,3,ZORA BARBARA,1302,3549,48273,VIA DOMENICO SAVIO 2 B,PUBBLICAZIONE DATO NON AUTORIZZATA DAL GESTORE,B,2,1,0,30,PUBBLICAZIONE DATO NON AUTORIZZATA DAL GESTORE,PUBBLICAZIONE DATO NON AUTORIZZATA DAL GESTORE,16750,16750,PUBBLICAZIONE DATO NON AUTORIZZATA DAL GESTORE,U,LOCAZIONI TURISTICHE,LOCAZIONI TURISTICHE ART.27 BIS L.R.V. 11/2013,TERRAFERMA,2307968.3542,5042083.8643,2019-04-17,3,270421773,270425067,3,8,Terraferma,Favaro,Favaro Veneto,Favaro Veneto
7,UNICA,11550,270421831,270425067,3,8,3,REVOLUTION VENICE,1303,4186,41664,VIA MONTE AVENA 7,PUBBLICAZIONE DATO NON AUTORIZZATA DAL GESTORE,_,2,1,0,30,PUBBLICAZIONE DATO NON AUTORIZZATA DAL GESTORE,PUBBLICAZIONE DATO NON AUTORIZZATA DAL GESTORE,11550,11550,PUBBLICAZIONE DATO NON AUTORIZZATA DAL GESTORE,U,LOCAZIONI TURISTICHE,LOCAZIONI TURISTICHE ART.27 BIS L.R.V. 11/2013,TERRAFERMA,2307991.9705,5042746.6182,2019-04-17,3,270421831,270425067,3,8,Terraferma,Favaro,Favaro Veneto,Favaro Veneto
15,UNICA,6620,270421852,270425067,3,8,3,LISA GOBBO,1304,3853,43351,VIA DELLE MUNEGHE 15 A,PUBBLICAZIONE DATO NON AUTORIZZATA DAL GESTORE,A,2,3,0,30,PUBBLICAZIONE DATO NON AUTORIZZATA DAL GESTORE,PUBBLICAZIONE DATO NON AUTORIZZATA DAL GESTORE,6620,6620,PUBBLICAZIONE DATO NON AUTORIZZATA DAL GESTORE,U,LOCAZIONI TURISTICHE,LOCAZIONI TURISTICHE ART.27 BIS L.R.V. 11/2013,TERRAFERMA,2308004.7038000003,5043072.0251,2019-04-17,3,270421852,270425067,3,8,Terraferma,Favaro,Favaro Veneto,Favaro Veneto
22,UNICA,11550,270421833,270425067,3,8,3,A LITTLE QUIET HOUSE,1305,5179,89320,VIA MONTE AVENA 22,PUBBLICAZIONE DATO NON AUTORIZZATA DAL GESTORE,_,4,2,0,30,PUBBLICAZIONE DATO NON AUTORIZZATA DAL GESTORE,PUBBLICAZIONE DATO NON AUTORIZZATA DAL GESTORE,11550,11550,PUBBLICAZIONE DATO NON AUTORIZZATA DAL GESTORE,U,LOCAZIONI TURISTICHE,LOCAZIONI TURISTICHE ART.27 BIS L.R.V. 11/2013,TERRAFERMA,2308017.3525,5042888.3939,2019-04-17,3,270421833,270425067,3,8,Terraferma,Favaro,Favaro Veneto,Favaro Veneto
29,UNICA,6620,270421852,270425067,3,8,3,EASY VENICE,1306,3590,50241,VIA DELLE MUNEGHE 29,PUBBLICAZIONE DATO NON AUTORIZZATA DAL GESTORE,_,4,3,0,30,PUBBLICAZIONE DATO NON AUTORIZZATA DAL GESTORE,PUBBLICAZIONE DATO NON AUTORIZZATA DAL GESTORE,6620,6620,PUBBLICAZIONE DATO NON AUTORIZZATA DAL GESTORE,U,LOCAZIONI TURISTICHE,LOCAZIONI TURISTICHE ART.27 BIS L.R.V. 11/2013,TERRAFERMA,2308028.1551,5042916.509099999,2019-04-17,3,270421852,270425067,3,8,Terraferma,Favaro,Favaro Veneto,Favaro Veneto
58,UNICA,18210,270421709,270425067,3,8,3,CA' LENA,1307,6192,83828,VIA TRIESTINA 58,PUBBLICAZIONE DATO NON AUTORIZZATA DAL GESTORE,_,3,2,0,30,PUBBLICAZIONE DATO NON AUTORIZZATA DAL GESTORE,PUBBLICAZIONE DATO NON AUTORIZZATA DAL GESTORE,18210,18210,PUBBLICAZIONE DATO NON AUTORIZZATA DAL GESTORE,U,LOCAZIONI TURISTICHE,LOCAZIONI TURISTICHE ART.27 BIS L.R.V. 11/2013,TERRAFERMA,2308102.0083,5042521.0119,2019-04-17,3,270421709,270425067,3,8,Terraferma,Favaro,Favaro Veneto,Favaro Veneto
144,UNICA,8860,270421777,270425079,3,8,3,APPARTAMENTO SILVIA,1308,6445,89081,VIA GOBBI 144,PUBBLICAZIONE DATO NON AUTORIZZATA DAL GESTORE,_,3,5,0,30,PUBBLICAZIONE DATO NON AUTORIZZATA DAL GESTORE,PUBBLICAZIONE DATO NON AUTORIZZATA DAL GESTORE,8860,8860,PUBBLICAZIONE DATO NON AUTORIZZATA DAL GESTORE,U,LOCAZIONI TURISTICHE,LOCAZIONI TURISTICHE ART.27 BIS L.R.V. 11/2013,TERRAFERMA,2308119.7171,5041606.048599999,2019-04-17,3,270421777,270425079,3,8,Terraferma,Aree Non Altrove Classificate (M.3 - Q.8),Favaro Veneto,Favaro Veneto
